Symbol,SecurityName,Exchange,CIK,ListedCurrently,EarliestVendorDate
A,"Agilent Technologies, Inc. Common Stock",NYSE,1090872.0,True,1999-11-01
AA,Alcoa Corporation Common Stock,NYSE,1675149.0,True,1985-01-01
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,2034334.0,True,2025-04-01
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,NASDAQ,2044009.0,True,2025-06-01
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,NYSE,1853138.0,True,2023-06-01
AAL,American Airlines Group Inc. Common Stock,NASDAQ,6201.0,True,2005-09-01
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,NYSE,2012964.0,True,2024-09-01
AAME,Atlantic American Corporation Common Stock,NASDAQ,8177.0,True,1985-01-01
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,1748824.0,True,2014-10-01
AAOI,"Applied Optoelectronics, Inc. Common Stock",NASDAQ,1158114.0,True,2013-09-01
AAON,"AAON, Inc. Common Stock",NASDAQ,824142.0,True,1992-12-01
AAP,Advance Auto Parts Inc.,NYSE,1158449.0,True,2001-11-01
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,2023311.0,True,2025-01-01
AAPL,Apple Inc. Common Stock,NASDAQ,320193.0,True,1985-01-01
AARD,"Aardvark Therapeutics, Inc. Common Stock",NASDAQ,1774857.0,True,2025-02-01
AAT,"American Assets Trust, Inc. Common Stock",NYSE,1500217.0,True,2011-01-01
AAUC,Allied Gold Corporation Common Shares,NYSE,1993344.0,True,2024-08-01
ABAT,American Battery Technology Company Common Stock,NASDAQ,1576873.0,True,2016-02-01
ABBV,AbbVie Inc. Common Stock,NYSE,1551152.0,True,2013-01-01
ABCB,Ameris Bancorp Common Stock,NYSE,351569.0,True,1994-05-01
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,1703057.0,True,2020-12-01
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,318306.0,True,1980-09-01
ABG,Asbury Automotive Group Inc Common Stock,NYSE,1144980.0,True,2002-03-01
ABL,"Abacus Global Management, Inc. Class A Common Stock",NASDAQ,1814287.0,True,2020-09-01
ABLV,Able View Global Inc. Class B Ordinary Shares,NASDAQ,1957489.0,True,2022-09-01
ABM,ABM Industries Incorporated Common Stock,NYSE,771497.0,True,1985-01-01
ABNB,"Airbnb, Inc. Class A Common Stock",NASDAQ,1559720.0,True,2020-12-01
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",NASDAQ,1576885.0,True,2021-07-01
ABP,"Abpro Holdings, Inc Common Stock",NASDAQ,1893219.0,True,2022-03-01
ABR,Arbor Realty Trust Common Stock,NYSE,1253986.0,True,2004-04-01
ABSI,Absci Corporation Common Stock,NASDAQ,1672688.0,True,2021-07-01
ABT,Abbott Laboratories Common Stock,NYSE,1800.0,True,1985-01-01
ABTC,American Bitcoin Corp. Class A Common Stock,NASDAQ,1755953.0,True,2018-02-01
ABTS,Abits Group Inc Ordinary Shares,NASDAQ,1864055.0,True,2014-04-01
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ,1447028.0,True,2007-07-01
ABVC,"ABVC BioPharma, Inc. Common Stock",NASDAQ,1173313.0,True,2004-11-01
ABVE,Above Food Ingredients Inc. Common Stock,NASDAQ,1979484.0,True,2024-07-01
ACA,"Arcosa, Inc. Common Stock",NYSE,1739445.0,True,2018-11-01
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,1070494.0,True,2004-05-01
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ,1683541.0,True,2014-07-01
ACCO,Acco Brands Corporation Common Stock,NYSE,712034.0,True,2005-08-01
