Symbol,EarliestVendorDate
A,1999-11-01
AA,1985-01-01
AACB,2025-04-01
AAL,2005-09-01
AAM,2024-09-01
AAME,1985-01-01
AAMI,2014-10-01
AAOI,2013-09-01
AAON,1992-12-01
AAP,2001-11-01
AAPG,2025-01-01
AAPL,1985-01-01
AARD,2025-02-01
AAT,2011-01-01
AAUC,2024-08-01
ABAT,2016-02-01
ABBV,2013-01-01
ABCB,1994-05-01
ABCL,2020-12-01
ABEO,1980-09-01
ABG,2002-03-01
ABL,2020-09-01
ABLV,2022-09-01
ABM,1985-01-01
ABNB,2020-12-01
ABOS,2021-07-01
ABP,2022-03-01
ABR,2004-04-01
ABSI,2021-07-01
ABT,1985-01-01
ABTC,2018-02-01
ABTS,2014-04-01
ABUS,2007-07-01
ABVC,2004-11-01
ABVE,2024-07-01
ACA,2018-11-01
ACAD,2004-05-01
ACB,2014-07-01
ACCL,2025-10-01
ACCO,2005-08-01
ACCS,2008-01-01
ACDC,2022-05-01
ACEL,2017-08-01
ACET,2018-01-01
ACFN,1992-02-01
ACGL,1995-09-01
ACHC,1994-03-01
ACHR,2020-12-01
ACHV,1995-10-01
ACI,2020-06-01
ACIC,2007-11-01
ACIU,2016-09-01
ACIW,1995-02-01
ACLS,2000-07-01
ACLX,2022-02-01
ACM,2007-05-01
ACMR,2017-11-01
ACN,2001-07-01
ACNB,1994-04-01
ACNT,1985-01-01
ACOG,2024-11-01
ACON,2022-04-01
ACP,2011-01-01
ACR,2006-02-01
ACRE,2012-04-01
ACRS,2015-10-01
ACRV,2022-11-01
ACT,2021-09-01
ACTG,2002-12-01
ACTU,2024-08-01
ACV,2015-05-01
ACVA,2021-03-01
ACXP,2021-06-01
AD,1988-05-01
ADAM,2004-07-01
ADBE,1986-08-01
ADC,1994-04-01
ADCT,2020-05-01
ADEA,2003-11-01
ADGM,2024-08-01
ADI,1985-01-01
ADIL,2018-07-01
ADM,1985-01-01
ADMA,2013-10-01
ADNT,2016-10-01
ADP,1985-01-01
ADPT,2019-06-01
ADSE,2021-03-01
ADSK,1985-06-01
ADT,2018-01-01
ADTN,1994-08-01
ADTX,2020-06-01
ADUR,2024-08-01
ADUS,2009-10-01
ADV,2020-01-01
ADVB,2025-03-01
ADVM,2014-07-01
ADX,1985-01-01
AEBI,2025-07-01
AEC,2012-03-01
AEE,1998-01-01
AEF,1989-09-01
AEG,1985-06-01
AEHL,2007-12-01
AEHR,1997-08-01
AEI,2020-11-01
AEIS,1995-11-01
AEM,1985-01-01
AEMD,1999-03-01
AENT,2021-03-01
AEO,1994-04-01
AEON,2023-01-01
AEP,1985-01-01
AER,2006-11-01
AERT,2021-12-01
AES,1991-06-01
AESI,2023-03-01
AEVA,2020-02-01
AEXA,2025-09-01
AEYE,2013-04-01
AFB,2002-01-01
AFBI,2017-04-01
AFCG,2021-03-01
AFG,1985-01-01
AFJK,2024-01-01
AFL,1985-01-01
AFRI,2021-02-01
AFRM,2021-01-01
AFYA,2019-07-01
AG,2006-11-01
AGAE,2017-10-01
AGCC,2025-10-01
AGCO,1992-04-01
AGD,2006-07-01
AGEN,2000-02-01
AGH,2025-02-01
AGI,2003-05-01
AGIO,2013-07-01
AGL,2021-04-01
AGM,1994-02-01
AGMH,2018-04-01
AGNC,2008-05-01
AGO,2004-04-01
AGRI,2021-07-01
AGRO,2011-01-01
AGRZ,2025-10-01
AGX,1995-08-01
AGYS,1985-01-01
AHCO,2018-05-01
AHG,2017-11-01
AHH,2013-05-01
AHL,2025-05-01
AHL^D,2016-09-01
AHMA,2025-10-01
AHR,2024-02-01
AHT,2003-08-01
AI,2020-12-01
AIFF,1994-04-01
AIFU,2007-11-01
AIG,1985-01-01
AIHS,2018-03-01
AII,2025-05-01
AIIO,2020-03-01
AIMD,2021-01-01
AIN,1987-09-01
AIOT,1999-06-01
AIP,2021-10-01
AIR,1985-01-01
AIRE,2023-10-01
AIRG,2016-08-01
AIRI,2000-10-01
AIRJ,2022-02-01
AIRO,2025-06-01
AIRS,2021-10-01
AIRT,1985-01-01
AISP,2021-05-01
AIT,1985-01-01
AIV,1994-07-01
AIZ,2004-02-01
AJG,1985-01-01
AKA,2021-09-01
AKAM,1999-10-01
AKAN,2022-03-01
AKBA,2014-03-01
AKO/A,1994-07-01
AKO/B,1997-04-01
AKR,1993-05-01
AKRO,2019-06-01
AKTX,2014-01-01
AL,2011-04-01
ALAB,2024-03-01
ALB,1994-02-01
ALBT,2018-03-01
ALC,2019-04-01
ALCO,1985-01-01
ALCY,2023-07-01
ALDF,2024-12-01
ALDX,2014-05-01
ALE,1985-01-01
ALEC,2019-02-01
ALEX,2012-06-01
ALF,2024-08-01
ALG,1993-03-01
ALGM,2020-10-01
ALGN,2001-01-01
ALGS,2020-10-01
ALGT,2006-12-01
ALH,2025-10-01
ALHC,2021-03-01
ALIT,2020-07-01
ALK,1985-01-01
ALKS,1991-07-01
ALKT,2021-04-01
ALL,1993-06-01
ALLE,2013-11-01
ALLO,2018-10-01
ALLR,2021-12-01
ALLT,2006-11-01
ALLY,2014-01-01
ALM,2013-06-01
ALMS,2024-06-01
ALMU,2023-02-01
ALNT,1985-01-01
ALNY,2004-06-01
ALOT,1985-01-01
ALRM,2015-06-01
