Symbol,SecurityName,Exchange,ListedCurrently
NVDA,NVIDIA Corporation Common Stock,NASDAQ,True
AAPL,Apple Inc. Common Stock,NASDAQ,True
GOOG,Alphabet Inc. Class C Capital Stock,NASDAQ,True
GOOGL,Alphabet Inc. Class A Common Stock,NASDAQ,True
MSFT,Microsoft Corporation Common Stock,NASDAQ,True
AMZN,"Amazon.com, Inc. Common Stock",NASDAQ,True
AVGO,Broadcom Inc. Common Stock,NASDAQ,True
META,"Meta Platforms, Inc. Class A Common Stock",NASDAQ,True
TSLA,"Tesla, Inc. Common Stock",NASDAQ,True
WMT,Walmart Inc. Common Stock,NASDAQ,True
PLTR,Palantir Technologies Inc. Class A Common Stock,NASDAQ,True
ASML,ASML Holding N.V. New York Registry Shares,NASDAQ,True
NFLX,"Netflix, Inc. Common Stock",NASDAQ,True
COST,Costco Wholesale Corporation Common Stock,NASDAQ,True
AMD,"Advanced Micro Devices, Inc. Common Stock",NASDAQ,True
CSCO,"Cisco Systems, Inc. Common Stock (DE)",NASDAQ,True
MU,"Micron Technology, Inc. Common Stock",NASDAQ,True
APP,Applovin Corporation Class A Common Stock,NASDAQ,True
TMUS,"T-Mobile US, Inc. Common Stock",NASDAQ,True
SHOP,Shopify Inc. Class A Subordinate Voting Shares,NASDAQ,True
AMAT,"Applied Materials, Inc. Common Stock",NASDAQ,True
PEP,"PepsiCo, Inc. Common Stock",NASDAQ,True
LRCX,Lam Research Corporation Common Stock,NASDAQ,True
LIN,Linde plc Ordinary Shares,NASDAQ,True
ISRG,"Intuitive Surgical, Inc. Common Stock",NASDAQ,True
QCOM,QUALCOMM Incorporated Common Stock,NASDAQ,True
INTU,Intuit Inc. Common Stock,NASDAQ,True
AMGN,Amgen Inc. Common Stock,NASDAQ,True
BKNG,Booking Holdings Inc. Common Stock,NASDAQ,True
INTC,Intel Corporation Common Stock,NASDAQ,True
TXN,Texas Instruments Incorporated Common Stock,NASDAQ,True
KLAC,KLA Corporation Common Stock,NASDAQ,True
GILD,"Gilead Sciences, Inc. Common Stock",NASDAQ,True
ADBE,Adobe Inc. Common Stock,NASDAQ,True
ADI,"Analog Devices, Inc. Common Stock",NASDAQ,True
PANW,"Palo Alto Networks, Inc. Common Stock",NASDAQ,True
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",NASDAQ,True
HON,Honeywell International Inc. Common Stock,NASDAQ,True
SNY,Sanofi ADS,NASDAQ,True
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,NASDAQ,True
CEG,Constellation Energy Corporation Common Stock,NASDAQ,True
ADP,"Automatic Data Processing, Inc. Common Stock",NASDAQ,True
HOOD,"Robinhood Markets, Inc. Class A Common Stock",NASDAQ,True
MELI,"MercadoLibre, Inc. Common Stock",NASDAQ,True
CMCSA,Comcast Corporation Class A Common Stock,NASDAQ,True
CME,CME Group Inc. Class A Common Stock,NASDAQ,True
DASH,"DoorDash, Inc. Class A Common Stock",NASDAQ,True
SBUX,Starbucks Corporation Common Stock,NASDAQ,True
CDNS,"Cadence Design Systems, Inc. Common Stock",NASDAQ,True
SNPS,"Synopsys, Inc. Common Stock",NASDAQ,True
MAR,Marriott International Class A Common Stock,NASDAQ,True
ORLY,"O'Reilly Automotive, Inc. Common Stock",NASDAQ,True
ABNB,"Airbnb, Inc. Class A Common Stock",NASDAQ,True
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",NASDAQ,True
CTAS,Cintas Corporation Common Stock,NASDAQ,True
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock",NASDAQ,True
EQIX,"Equinix, Inc. Common Stock REIT",NASDAQ,True
MNST,Monster Beverage Corporation,NASDAQ,True
COIN,"Coinbase Global, Inc. Class A Common Stock",NASDAQ,True
MRVL,"Marvell Technology, Inc. Common Stock",NASDAQ,True
MDLZ,"Mondelez International, Inc. Class A Common Stock",NASDAQ,True
CSX,CSX Corporation Common Stock,NASDAQ,True
ADSK,"Autodesk, Inc. Common Stock",NASDAQ,True
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),NASDAQ,True
FTNT,"Fortinet, Inc. Common Stock",NASDAQ,True
AEP,"American Electric Power Company, Inc. Common Stock",NASDAQ,True
WDC,Western Digital Corporation Common Stock,NASDAQ,True
WDAY,"Workday, Inc. Class A Common Stock",NASDAQ,True
ROST,"Ross Stores, Inc. Common Stock",NASDAQ,True
PCAR,PACCAR Inc. Common Stock,NASDAQ,True
TRI,Thomson Reuters Corporation Common Shares,NASDAQ,True
PYPL,"PayPal Holdings, Inc. Common Stock",NASDAQ,True
NXPI,NXP Semiconductors N.V. Common Stock,NASDAQ,True
IDXX,"IDEXX Laboratories, Inc. Common Stock",NASDAQ,True
NDAQ,"Nasdaq, Inc. Common Stock",NASDAQ,True
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",NASDAQ,True
ELVR,Elevra Lithium Limited American Depository Shares,NASDAQ,True
DDOG,"Datadog, Inc. Class A Common Stock",NASDAQ,True
EA,Electronic Arts Inc. Common Stock,NASDAQ,True
MSTR,Strategy Inc Common Stock Class A,NASDAQ,True
FAST,Fastenal Company Common Stock,NASDAQ,True
FER,Ferrovial SE Ordinary Shares,NASDAQ,True
ROP,"Roper Technologies, Inc. Common Stock",NASDAQ,True
BKR,Baker Hughes Company Class A Common Stock,NASDAQ,True
MPWR,"Monolithic Power Systems, Inc. Common Stock",NASDAQ,True
FANG,"Diamondback Energy, Inc. Common Stock",NASDAQ,True
TTWO,"Take-Two Interactive Software, Inc. Common Stock",NASDAQ,True
AXON,"Axon Enterprise, Inc. Common Stock",NASDAQ,True
XEL,Xcel Energy Inc. Common Stock,NASDAQ,True
EXC,Exelon Corporation Common Stock,NASDAQ,True
BIDU,"Baidu, Inc. ADS",NASDAQ,True
TEAM,Atlassian Corporation Class A Common Stock,NASDAQ,True
INSM,Insmed Incorporated Common Stock,NASDAQ,True
PAYX,"Paychex, Inc. Common Stock",NASDAQ,True
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,NASDAQ,True
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,NASDAQ,True
KDP,Keurig Dr Pepper Inc. Common Stock,NASDAQ,True
CRWV,"CoreWeave, Inc. Class A Common Stock",NASDAQ,True
EBAY,eBay Inc. Common Stock,NASDAQ,True
GEHC,GE HealthCare Technologies Inc. Common Stock,NASDAQ,True
ZS,"Zscaler, Inc. Common Stock",NASDAQ,True
CPRT,"Copart, Inc. (DE) Common Stock",NASDAQ,True
FISV,"Fiserv, Inc. Common Stock",NASDAQ,True
SYM,Symbotic Inc. Class A Common Stock,NASDAQ,True
MCHP,Microchip Technology Incorporated Common Stock,NASDAQ,True
SOFI,"SoFi Technologies, Inc. Common Stock",NASDAQ,True
KMB,Kimberly-Clark Corporation Common Stock,NASDAQ,True
MDB,"MongoDB, Inc. Class A Common Stock",NASDAQ,True
